Name	G	D	P	Num	freePbby	freeExpire	freeBind	freeNotice	Pbby	Expire	Bind	Notice
奖励名称	id	id	id	数量	银币概率（随机）	现有时间（日期）	绑定	是否公告	金币概率（随机）	限制时间（天）	绑定	是否公告
披风箱	2	103	151	1	200	0	4	1	200	0	4	1
徽章箱	2	103	150	1	200	0	4	1	200	0	4	1
洪荒碎片	2	95	1506	10	3000	0	4	0	5000	0	4	0
紫水晶[神器]	2	95	60007	1	10	0	4	0	10	0	4	1
耀阳碎片	2	95	741	10	4000	0	4	0	4000	0	4	0
皓月碎片	2	95	740	10	4000	0	4	0	4000	0	4	0
陨铁精石	2	1	1009	10	800	0	4	0	800	0	4	0
神器	2	95	55	10	1000	0	4	0	1000	0	4	0
天使☆镇魂玉	2	103	153	1	300	0	4	1	300	0	4	1
龙隐☆之精华	2	95	7008	1	50	0	4	1	50	0	4	1
修真要诀	2	0	554	1	2000	0	4	0	2000	0	4	0
大人参果	2	0	553	1	3000	0	4	0	3000	0	4	0
小人参果	2	0	552	1	8000	0	4	0	8000	0	4	0
藏剑英雄帖	2	0	31	1	1000	0	4	0	1000	0	4	0
7级灵石原石	2	95	559	1	50	0	4	1	50	0	4	1
6级灵石原石	2	95	558	1	100	0	4	0	100	0	4	0
5级灵石原石	2	95	557	1	500	0	4	0	500	0	4	0
4级灵石原石	2	95	556	1	1000	0	4	0	1000	0	4	0
小般若树种	2	0	504	1	5000	0	4	0	5000	0	4	0
般若树种	2	0	398	1	1000	0	4	0	1000	0	4	0
苍梧龙隐装备箱(八卦)	2	95	60026	1	100	0	4	0	100	0	4	0
军功章	2	1	9999	1	6000	0	4	0	6000	0	4	0
大军功章	2	1	9998	1	500	0	4	0	500	0	4	0
五行天仪箱	2	103	152	1	200	0	4	1	200	0	4	1
九转回魂丹	1	0	32	1	1000	0	4	0	1000	0	4	0
消劫散	2	0	141	1	2000	0	4	0	2000	0	4	0
苍梧☆之精华	2	95	7009	1	10	0	4	1	10	0	4	1
金钱袋	2	95	662	1	6000	0	4	0	6000	0	4	0
