L­u Thñy HiÖu	Tr¹ng th¸i (1 m?0 ®ãng)	Script ban ®Çu cña ho¹t ®éng	Server run function	Gamer login run of function	Ngµy b¾t ®Çu ho¹t ®éng (ho¹t ®éng bao gåm thêi gian nµy)	Ngµy kÕt thóc ho¹t ®éng (ho¹t ®éng kh«ng bao gåm thêi gian nµy)	L­u ?
1	0	\script\online_activites\2010_01\activites_01\init.lua	ServerStartUp	PlayerLogin	2010012900	2010012900	Ho¹t ®éng 1 tÕt 01/2010
2	0	\script\online_activites\2010_01\activites_02\init.lua	ServerStartUp	PlayerLogin	2010020500	2010020500	Ho¹t ®éng 2, tÕt 01/2010
3	0	\script\online_activites\2010_03\activites_01\init.lua	ServerStartUp	PlayerLogin	2010030500	2010030500	Ho¹t ®éng 1, 03/2010
4	0	\script\online_activites\2010_03\activites_02\init.lua	ServerStartUp	PlayerLogin	2010012900	2010012900	
5	0	\script\online_activites\2010_04\activities_01\init.lua	ServerStartUp	PlayerLogin	2010020500	2010020500	Ho¹t ®éng mét ,4/2010
6	0	\script\online_activites\2010_04\activities_02\init.lua	ServerStartUp	PlayerLogin	2010030500	2010030500	Ho¹t ®éng hai, 04/2010 (kÐo dµi)
7	0	\script\online_activites\2010_06\activites_01\init.lua	ServerStartUp	PlayerLogin	2010052800	2010052800	Ho¹t ®éng 1 06/2010
8	0	\script\online_activites\2010_06\activites_02\init.lua	ServerStartUp	PlayerLogin	2010044329	2010044329	Ho¹t ®éng n©ng cÊp mËt tÞch th¸ng 6
9	0	\script\online_activites\reborn\task\init.lua	ServerStartUp	PlayerLogin	2010048961	2010048961	NhiÖm v?chuyÓn sinh
10	0	\script\online_activites\2010_07\activites_01\init.lua	ServerStartUp	PlayerLogin	2010053593	2010053593	Ho¹t ®éng th¸ng 7
11	0	\script\online_activites\2010_08\activites_01\init.lua	ServerStartUp	PlayerLogin	2010058225	2010058225	Ho¹t ®éng th¸ng 8
12	0	\script\online_activites\tiaozhansilingboss\init.lua	ServerStartUp	PlayerLogin	2010062857	2010062857	Ho¹t ®éng khiªu chiÕn t?linh
13	0	\script\online_activites\2010_09\activites_01\init.lua	ServerStartUp	PlayerLogin	2010067489	2010067489	Event Trung Thu th¸ng 9
14	0	\script\online_activites\2010_09\activites_02\init.lua	ServerStartUp	PlayerLogin	2010072121	2010072121	Ho¹t ®éng Héi §Ìn T?Linh th¸ng 9
